word	log10(p)	rank
流行	   -4.0505	1097
建省	   -4.0508	1098
奥尔	   -4.0510	1099
类似	   -4.0512	1100
布于	   -4.0514	1101
村落	   -4.0517	1102
克尔	   -4.0525	1103
批准	   -4.0529	1104
影片	   -4.0534	1105
部门	   -4.0535	1106
战斗	   -4.0545	1107
金融	   -4.0549	1108
巴斯	   -4.0555	1109
史上	   -4.0556	1110
特殊	   -4.0557	1111
拉跨	   -4.0560	1112
选择	   -4.0563	1113
站点	   -4.0572	1114
朋友	   -4.0579	1115
主题	   -4.0584	1116
三世	   -4.0586	1117
海南	   -4.0588	1118
全书	   -4.0591	1119
引擎	   -4.0600	1120
